roi_index,roi_label,period,coefficient,active_mean,active_std,sham_mean,sham_std,mean_difference,t_statistic,p_value,p_value_fdr,p_value_bonferroni,cohens_d
0,Retrocalcarine cortex RH,baseline,drift_0,-0.04052909283188913,0.01808135976262669,-0.03805340999097892,0.015210210296491555,-0.0024756828409102094,-0.4191086291489452,0.6781225371830646,1.0,1.0,-0.14817727686250853
0,Retrocalcarine cortex RH,baseline,drift_1,0.0023663047244905375,0.01179268233951309,-0.007034295354857663,0.011570324702835925,0.0094006000793482,2.276051882828017,0.030147758930574912,1.0,1.0,0.8047058603400502
0,Retrocalcarine cortex RH,baseline,diffusion,0.11904986761926553,0.059551683947072984,0.09606645189137053,0.05681300154947643,0.022983415727895,1.1169869896584497,0.2728661724371561,1.0,1.0,0.39491453744231886
0,Retrocalcarine cortex RH,stimulation,drift_0,-0.04604739941606669,0.01790862288856488,-0.04406012397097138,0.015594124009871601,-0.0019872754450953115,-0.3347485866254632,0.740144029609965,1.0,1.0,-0.11835149779773874
0,Retrocalcarine cortex RH,stimulation,drift_1,0.0015902984965245875,0.01190401385327394,0.0024087817668660997,0.009114437504941687,-0.0008184832703415123,-0.21836971013405712,0.8286197557907057,0.9832058284237342,1.0,-0.07720535142076626
0,Retrocalcarine cortex RH,stimulation,diffusion,0.09702871734038451,0.02934267371689762,0.10453138746414932,0.049383917306329024,-0.007502670123764807,-0.5224375895303338,0.6052025964846927,1.0,1.0,-0.18470958115182654
0,Retrocalcarine cortex RH,recovery,drift_0,-0.03910779937254634,0.01522986933425156,-0.046710662467646304,0.010440624006292535,0.007602863095099964,1.6469798268285545,0.10999914928014567,1.0,1.0,0.5822953020139583
0,Retrocalcarine cortex RH,recovery,drift_1,0.007129999565408306,0.01552217366953835,-0.0026580333976433937,0.007913497596338734,0.0097880329630517,2.2471507008524405,0.03214100824584312,1.0,1.0,0.7944877494604318
0,Retrocalcarine cortex RH,recovery,diffusion,0.091004369373887,0.04652004152795614,0.10594919841509352,0.05579520831937373,-0.014944829041206517,-0.8229024625816004,0.4170569091124481,1.0,1.0,-0.2909399557732794
1,Superior longitudinal fasciculus II mid-posterior RH,baseline,drift_0,-0.052238563308022706,0.01761109948259967,-0.05452259815241542,0.016954743391209236,0.0022840348443927128,0.37372511223499233,0.7112370759346689,1.0,1.0,0.13213178058053332
1,Superior longitudinal fasciculus II mid-posterior RH,baseline,drift_1,0.009465577287298837,0.020013619667902587,0.0046907970093973,0.018297673070571667,0.004774780277901537,0.7043141113387601,0.486668987349962,0.9752427456875951,1.0,0.24901264210650714
1,Superior longitudinal fasciculus II mid-posterior RH,baseline,diffusion,0.12786798843199867,0.03024125036673443,0.1275509058874968,0.033022143383573406,0.00031708254450188433,0.02832537445088867,0.9775902370017195,1.0,1.0,0.01001453217693578
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation,drift_0,-0.05592283796594976,0.017003249061342367,-0.05386892798548038,0.012328516428462206,-0.002053909980469379,-0.3911753603307158,0.698432129952365,1.0,1.0,-0.13830137496147019
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation,drift_1,0.004207410426150756,0.011569973160082693,0.008248708856670287,0.015047918512703937,-0.004041298430519531,-0.8516208646716054,0.4011717351809847,0.9620605546260617,1.0,-0.30109344420462164
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation,diffusion,0.14255110286183315,0.03438094097147032,0.13531816259746432,0.028238765016935407,0.007232940264368826,0.6502788739100962,0.5204613215510412,1.0,1.0,0.22990830070209045
1,Superior longitudinal fasciculus II mid-posterior RH,recovery,drift_0,-0.043898942618231206,0.014417257900343141,-0.04233220810424515,0.009483296345052074,-0.0015667345139860553,-0.3631618132610192,0.7190304884210235,1.0,1.0,-0.12839709041243466
1,Superior longitudinal fasciculus II mid-posterior RH,recovery,drift_1,0.0025694016350497444,0.012822706320339513,0.004543914880910043,0.013463060614763083,-0.001974513245860299,-0.42480102451042806,0.6740130904447945,1.0,1.0,-0.15018984254315823
1,Superior longitudinal fasciculus II mid-posterior RH,recovery,diffusion,0.11098748488581192,0.04463419334073613,0.10992333071821313,0.05895217527023468,0.0010641541675987937,0.05756617296850953,0.9544759205968198,1.0,1.0,0.02035271563649541
2,Arcuate fasciculus mid-anterior RH,baseline,drift_0,-0.041498204815534304,0.009247903634237697,-0.04014566779849173,0.015595847911655313,-0.0013525370170425766,-0.29838260453604626,0.7674681348970718,1.0,1.0,-0.10549418152777111
2,Arcuate fasciculus mid-anterior RH,baseline,drift_1,-0.0010187967738729752,0.009560273438158426,-0.00130979337642736,0.013132254697132448,0.0002909966025543848,0.07165810081623801,0.9433495981445577,0.9999896361283924,1.0,0.02533496450705559
2,Arcuate fasciculus mid-anterior RH,baseline,diffusion,0.10474531712223342,0.05479696187839487,0.09756562786936432,0.04240887952313404,0.007179689252869104,0.4144668797613268,0.6814809720727506,0.9732726853591306,1.0,0.14653617062823182
2,Arcuate fasciculus mid-anterior RH,stimulation,drift_0,-0.037936822624796744,0.011175727376166785,-0.04434026859154802,0.013724388360779811,0.006403445966751277,1.4471856144220328,0.15821450520450747,1.0,1.0,0.5116573807967199
