analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,cohens_d,mean_difference,change_difference,active_change_mean,sham_change_mean,p_value_active_vs_zero,p_value_sham_vs_zero
standard,4,Precentral sulcus mid-inferior RH,baseline,drift_0,0.08790787723249635,1.0,-0.6236815445305295,-0.007269030784726883,,,,,
standard,4,Precentral sulcus mid-inferior RH,baseline,drift_1,0.41941941210517164,1.0,0.2894505831455116,0.004193628018954825,,,,,
standard,4,Precentral sulcus mid-inferior RH,baseline,diffusion,0.5986171005650576,0.9548035996551697,0.1881043533865053,0.007439199005215794,,,,,
standard,4,Precentral sulcus mid-inferior RH,stimulation,drift_0,0.9446941937798962,0.9972854169387769,-0.02473261298001668,-0.0003313615502995304,,,,,
standard,4,Precentral sulcus mid-inferior RH,stimulation,drift_1,0.9288646933702848,0.9887291538577667,0.03182910389339453,0.0002754953551521934,,,,,
standard,4,Precentral sulcus mid-inferior RH,stimulation,diffusion,0.37746158045280653,1.0,0.3167332461376466,0.007166685115067309,,,,,
standard,4,Precentral sulcus mid-inferior RH,recovery,drift_0,0.6683664404894387,1.0,0.1529634324903081,0.001770145717885016,,,,,
standard,4,Precentral sulcus mid-inferior RH,recovery,drift_1,0.3926123227596524,0.9951361844205051,-0.30666960628986756,-0.003477525841286187,,,,,
standard,4,Precentral sulcus mid-inferior RH,recovery,diffusion,0.36779560869401484,1.0,0.32329084441353856,0.012271431311047229,,,,,
standard,5,Putamen inferior RH,baseline,drift_0,0.7486904862757477,1.0,0.1143134522619123,0.0016545151810953007,,,,,
standard,5,Putamen inferior RH,baseline,drift_1,0.581372696477995,0.9664377292101736,-0.19707957495638376,-0.002766546076674225,,,,,
standard,5,Putamen inferior RH,baseline,diffusion,0.38112794447403475,1.0,0.31427442975100695,0.010870291598166437,,,,,
standard,5,Putamen inferior RH,stimulation,drift_0,0.3964527262967311,0.9642935670495313,-0.3041582801162624,-0.0041719109487968545,,,,,
standard,5,Putamen inferior RH,stimulation,drift_1,0.4726310490133674,0.9602662583128734,0.2571682016814086,0.003161182504615344,,,,,
standard,5,Putamen inferior RH,stimulation,diffusion,0.5504894832877738,1.0,-0.2134895216080937,-0.006283129888953465,,,,,
standard,5,Putamen inferior RH,recovery,drift_0,0.6679411546075062,1.0,0.1531727193889721,0.00218894671825684,,,,,
standard,5,Putamen inferior RH,recovery,drift_1,0.45698076029597456,1.0,0.26642757906240716,0.0032984246576602564,,,,,
standard,5,Putamen inferior RH,recovery,diffusion,0.16913748530455924,1.0,0.4981315594068604,0.01738543888346379,,,,,
standard,6,Paracingulate gyrus posterior,baseline,drift_0,0.5294848666195807,1.0,-0.22492271639231534,-0.003962457624628081,,,,,
standard,6,Paracingulate gyrus posterior,baseline,drift_1,0.4864606625394352,0.978655635442793,-0.24913268190101726,-0.00297600387373651,,,,,
standard,6,Paracingulate gyrus posterior,baseline,diffusion,0.14210677679253506,1.0,0.5330304694897352,0.020119473831607726,,,,,
