roi_idx,roi_label,comparison,component,active_mean,active_std,sham_mean,sham_std,t_statistic,p_value,cohens_d,n_subjects
0,Retrocalcarine cortex RH,stimulation_minus_baseline,free_energy_change,-0.07739992812783719,0.12782117915564434,-0.023537417005834366,0.17671756039237324,-0.9751955220153387,0.34492900379318925,-0.34925860576371887,16
0,Retrocalcarine cortex RH,stimulation_minus_baseline,potential_energy_change,0.005504203605949527,0.08288653639283072,-0.03863902007242174,0.06360912627766449,1.578609469305399,0.1352781695250267,0.5975047123844418,16
0,Retrocalcarine cortex RH,stimulation_minus_baseline,entropy_change,-0.08290413173378672,0.12512442260038378,0.015101603066587477,0.149518957046802,-1.8906872309149039,0.07814277046879614,-0.7108957210906736,16
0,Retrocalcarine cortex RH,recovery_minus_baseline,free_energy_change,-0.029157310178488743,0.22731916116020026,-0.053920099336994265,0.09902343700971065,0.3375235628561622,0.7403991868254665,0.14123713275177183,16
0,Retrocalcarine cortex RH,recovery_minus_baseline,potential_energy_change,-0.013586217322783416,0.06706235547484929,-0.025826819071050423,0.07139016677632447,0.4527666518504591,0.657196622873771,0.1767338844953926,16
0,Retrocalcarine cortex RH,recovery_minus_baseline,entropy_change,-0.015571092855705237,0.21685293435624142,-0.028093280265943793,0.08640711327303287,0.1898455441990557,0.8519753652079814,0.07586322071632907,16
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation_minus_baseline,free_energy_change,0.10033031781661084,0.2537251100150132,-0.009413099990274149,0.15200415261535286,1.6830898200053659,0.11304931744183397,0.5247287835026015,16
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation_minus_baseline,potential_energy_change,0.015927812739138028,0.10179844568906576,-0.03153523353284091,0.08676821962658264,1.590609704548046,0.13254827644494394,0.5018170812963203,16
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation_minus_baseline,entropy_change,0.08440250507747277,0.2454299201111547,0.022122133542566758,0.09194540383320939,1.0756228696329788,0.29909323425397233,0.33606250261437776,16
1,Superior longitudinal fasciculus II mid-posterior RH,recovery_minus_baseline,free_energy_change,0.07335776928931537,0.19281212410592885,0.03558220590268571,0.1462766672887017,0.5018670830338651,0.6230471060503119,0.22073734278233173,16
1,Superior longitudinal fasciculus II mid-posterior RH,recovery_minus_baseline,potential_energy_change,0.016231722196405327,0.09233705167006245,-0.004143030118884401,0.09032426195705043,0.6583975272634497,0.5202610942033746,0.2230742244640138,16
1,Superior longitudinal fasciculus II mid-posterior RH,recovery_minus_baseline,entropy_change,0.05712604709290994,0.1547622457073891,0.039725236021570076,0.12235756451094522,0.29265920382861166,0.7737920888740563,0.12473342954305633,16
2,Arcuate fasciculus mid-anterior RH,stimulation_minus_baseline,free_energy_change,0.0038996517820268084,0.15074006968218165,-0.04333435336378777,0.13164822876608534,0.7708097853518052,0.4527907523923186,0.3337703650955597,16
2,Arcuate fasciculus mid-anterior RH,stimulation_minus_baseline,potential_energy_change,-0.01906762838571638,0.07471943453792959,-0.03233660773147326,0.05442875687677042,0.492591304626522,0.6294335228100456,0.2029944651611186,16
2,Arcuate fasciculus mid-anterior RH,stimulation_minus_baseline,entropy_change,0.02296728016774313,0.12365681359964337,-0.01099774563231462,0.12889557725802764,0.6777993158195434,0.5082199599235238,0.2689162493990216,16
2,Arcuate fasciculus mid-anterior RH,recovery_minus_baseline,free_energy_change,-0.03815771836225429,0.17123153368215033,0.008077673183256057,0.12802956474693927,-0.8393963731582105,0.4144252249167887,-0.305826658929422,16
2,Arcuate fasciculus mid-anterior RH,recovery_minus_baseline,potential_energy_change,-0.022840382103017903,0.06399533185735401,-0.0005154335839406736,0.0859227472334447,-0.8094316894432707,0.43092015520241334,-0.2946931661056254,16
2,Arcuate fasciculus mid-anterior RH,recovery_minus_baseline,entropy_change,-0.015317336259236314,0.13907898737173288,0.008593106767196629,0.14342883082514135,-0.5017560954385534,0.6231233384282404,-0.16925272649180792,16
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),stimulation_minus_baseline,free_energy_change,-0.09994477635169202,0.28898085249339683,-0.1301593867645699,0.2179293435855461,0.3373870569799174,0.7405000149559516,0.11805684082392606,16
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),stimulation_minus_baseline,potential_energy_change,-0.01739240206513723,0.14909038150013207,-0.03281534640798465,0.13246771753915393,0.30472233056602027,0.7647647202283259,0.10936383014315083,16
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),stimulation_minus_baseline,entropy_change,-0.08255237428655479,0.1866059559827208,-0.09734404035658523,0.15945840587144988,0.25529873463048813,0.8019598103196368,0.08522323458482015,16
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),recovery_minus_baseline,free_energy_change,-0.08932789997386079,0.3053082077771962,-0.05029848647338653,0.22117849958718283,-0.4415512755178858,0.6651127309210662,-0.146406215683492,16
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),recovery_minus_baseline,potential_energy_change,-0.015621919449958502,0.17672119015859863,-0.014747276337032666,0.10998648535361971,-0.01620457036535832,0.9872847647058252,-0.005942436289072448,16
