Period,Metric,Mean,Std,Min,Max,N_ROIs,N_Positive,N_Negative,Percent_Positive,Mean_Magnitude
During Stimulation,Free Energy,-0.024643768646380022,0.19422176986405398,-1.432262549660008,1.169940755516632,16384,7532,8852,45.9716796875,0.1461770942406276
During Stimulation,Potential Energy,-0.0036372810491597986,0.09857044784025394,-0.6883600794700262,0.7212391481242176,16384,8075,8309,49.285888671875,0.0741154827555652
During Stimulation,Entropy,-0.021006487597220225,0.15790775899694096,-0.8550459787427802,1.2404732769984623,16384,7424,8960,45.3125,0.12051517859625666
After Stimulation,Free Energy,-0.01449524475585989,0.19358908312859477,-1.3938734621830915,1.2632937495951748,16384,7955,8429,48.553466796875,0.14459098890950495
After Stimulation,Potential Energy,0.004779163261781989,0.09842507129018321,-0.7238401066576298,0.712373856587068,16384,8759,7625,53.460693359375,0.07420878815305706
After Stimulation,Entropy,-0.019274408017641877,0.1580069918311868,-0.8211074769112336,0.7441440506589743,16384,7513,8871,45.855712890625,0.12127328845361784
